text,label,prompt_name,source,RDizzl3_seven
"Phones

Modern humans today are always on their phone. They are always on their phone more than 5 hours a day no stop .All they do is text back and forward and just have group Chats on social media. They even do it while driving. They are some really bad consequences when stuff happens when it comes to a phone. Some certain areas in the United States ban phones from class rooms just because of it.

When people have phones, they know about certain apps that they have .Apps like Facebook Twitter Instagram and Snapchat. So like if a friend moves away and you want to be in contact you can still be in contact by posting videos or text messages. People always have different ways how to communicate with a phone. Phones have changed due to our generation.

Driving is one of the way how to get around. People always be on their phones while doing it. Which can cause serious Problems. That's why there's a thing that's called no texting while driving. That's a really important thing to remember. Some people still do it because they think It's stupid. No matter what they do they still have to obey it because that's the only way how did he save.

Sometimes on the news there is either an accident or a suicide. It might involve someone not looking where they're going or tweet that someone sent. It either injury or death. If a mysterious number says I'm going to kill you and they know where you live but you don't know the person's contact ,It makes you puzzled and make you start to freak out. Which can end up really badly.

Phones are fine to use and it's also the best way to come over help. If you go through a problem and you can't find help you ,always have a phone there with you. Even though phones are used almost every day as long as you're safe it would come into use if you get into trouble. Make sure you do not be like this phone while you're in the middle of driving. The news always updated when people do something stupid around that involves their phones. The safest way is the best way to stay safe.    ",0,Phones and driving,persuade_corpus,False
"This essay will explain if drivers should or should not be able to use electronic devices while operating a vehicle. Using a phone while driving can cause very bad wrecks, because they are putting themselves and other people at risk. People should not be able to use cell phones while operating a vehicle is because bad wrecks, putting others' lives in danger, and may cause death.

First of all, wrecks can be caused by looking down at your phone while driving. Most importantly, you should always keep your eyes directly on the road when behind the wheel of a car. On that note, you will have an outrageously car payment just because you were looking down at your phone. Moreover, if you the reason the accident happened the person that was operating the other car can sue you for lots of money, and you will have to pay it. Therefore, if you don't pay whatever the person charges you consequences will be served and that's behind bars.

Another reason why we should not be able to use cell phones while operating an automobile is that you are putting other people's lives in danger. Thus, looking down at your cell phone you can get someone else hurt for the uncommunicative act you committed. As well as unconsciousness, injuries, or being in a hospital.

The main key to not texting and driving while behind the wheel of a car. Mainly, it can cause tragic, terrifying, and horrific things to you and to others and that's death. That's the most important thing to not using electronic devices while operating a vehicle. With the intension, of you not keeping your eyes and staying focus on the road you can easily turn off the road or hit another victim. Possibly another humankind could go away of all flesh because of your stupidity.

Must be remembered, always stay focus on the road so you can get to your destination safely. So, you can't cause accidents, put other people lives in danger, and possibly death. Important to realize, do not use your phone while operating a vehicle. At least, wait till you make a safe stop or until you arrive at your destination.                                                                      ",0,Phones and driving,persuade_corpus,False
"Driving while the use of cellular devices

Today, most of the society is thoughtless. Especially new drivers, all driver for that matter do not understand the dangers of looking at a cell phone while behind the wheel.

The automobile crashes due to distracted driving are increasing, teens have been the largest age group that was reported to being distracted by cellular usage. I do not agree with people using their cell phones and driving, humans should be smarter to know that if something is going on while they are driving that is so important then pulling off to the side of the road. The society doesn't understand that teens are the main cause for accidents I mean, in two thousand and five there was three hundred and one thousand injuries that were caused in distracted driving related accidents, that doesn't necessarily mean that the driver was texting or using a cellular device. New drivers do not understand that deaths are usually results of an accident. one out of every four car accidents is caused by texting and driving.   ",0,Phones and driving,persuade_corpus,False
"Phones & Driving

Drivers should not be able to use phones while operating a vehicle. Drivers who used their phone while operating a vehicle are most likely to get into an accident that could be fatal.

According to an article by the Edgar Snyder Firm, 21% of teens that were part of a fatal car accident was due to phones. According to the same article, 35% know the risk but continue using their phones while on the road. This shows that its beyond dangerous and irresponsible of drivers not to be fully aware of their surroundings while driving. Drivers should be able to concentrate without any distractions, because it could be fatal.

According to another article, ""Distracted Driving"" by the NHTSA, there has already been about 3,000 phone related car accident deaths since 2017. The article states that teen get too distracted with their phones, which causes their accident. Accidents that can be easily avoided by focusing on the road and not a phone. Drivers should not be able to use their phones at all while driving.

In conclusion, drivers should not able to work a vehicle while using their cell phone. Drivers who uses their phones while operating a vehicle and are likely to have an accident then those who don't.             ",0,Phones and driving,persuade_corpus,False
"Cell Phone Operation While Driving

The ability to stay connected to people we know despite distance was originally brought to fruition by the use of letters. This system was found to be rather slow and new pathways were searched for until the invention of the telegram; the people thought it was an invention of the millennia, but after time it too was thought of as slow until the invention of the telephone. Today, a telephone is in the hand or pocket of a majority of the seven billion people on planet earth. However, this device is taken to areas that it is irresponsible and dangerous.

Within a vehicle capable of traveling upwards of one hundred miles per hour any possible distraction can become fatal spontaneously. The most common of these distractions is a cell phone, with its capabilities to connect us to anyone also in ownership of one, it is easy to pick it up whenever it sounds. In that split second of reaching over for a phone, eyes no longer on the road, it is impossible to no an exact location of anything, making an extremely dangerous action. For the myriad of possibilities that lead to serious injury cell phones should stay in the current state they are in regards of the law, but taken as a more serious offense.

Conversely people may believe that laws in present need to change, becoming less restrictive. People have the right to communicate with whom they wish, when or wherever they may choose to do so. The problem becomes apparent that this is a selfish process of thought; people aren't thinking of those they share the road with. Laws currently in place are not to punish people making poor choices, they are an attempt to keep people safe.

The creation of telecommunication devices was to keep connected to others without regard to the obsession that would encompass the human mind that was bound to follow. The safety of people is top priority without exemption.      ",0,Phones and driving,persuade_corpus,False
"Cell phone use should not be legal while driving, it causes many accidents even fatalities. Drivers become careless while driving when using cell phones. Cell phones cause distractions while on the road. Drivers do not pay attention to the road, which causes accidents to happen. The most prevalent distractions are texting and talking on a cell phone while driving. Cell Phone use should not be legal while driving because it will help prevent more accidents and also prevent more deaths. People become distracted while driving when they use cell phones and bring danger into life, the government should regulate stricter laws to citizens about cell phone use on the road.

Drivers are too busy talking on cell phones and not paying attention to the road. Even the act of just dialing a cell phone can be dangerous. This increases the crash risk by 3 times. This is one of the worst distractions drivers can have, due to the fact that you are not paying attention to the road. Maybe the driver gets a call, gets into an argument, or they are driving too slow. Also another reason is calling while driving can also block out hearing cause the driver is too focused on who is talking, also the driver is less aware of cars around.

This has a big impact on the economy and death rates in the world.

The next reason cell phone use should be illegal while driving is due to texting. This causes the same risks but at a higher rate because you are constantly looking at your phone. Drivers are too busy focused on their screen to pay attention to the road. They are also too busy thinking about their responses and what to say to pay attention to other drivers on the road. Since it usually takes two hands to text, the driver has no hands on the steering wheel. This distraction causes the most fatalities.

This is just another reason cell phone use while driving should be illegal. Drivers however, underestimate their risks of getting into an accident while using their cell phone on the road. Companies also have this break with reality. They promote things like hand free devices, even though those have been shown not to eliminate the risk of getting into an accident. ""Device makers and auto companies acknowledge the risks of multitasking behind the wheel, but they aggressively develop and market gadgets that cause distractions.

Overall, they acknowledge these things happen but they still market things that will cause distractions and increase accident risk.

State governments should set stricter rules about cell phone use while driving. Death rates are going up rapidly everyday. More and more people are passing away from others not paying attention to their pathway. People are being less cautious and lose focus while being on the road. People should care about their lives and others around them more and should put their phones down until reaching the destination.    ",0,Phones and driving,persuade_corpus,False
"Phones and Driving

Driving is a good way to get whatever you need to go in a shorter period of time than on foot. Americans like driving from places such as fast food restaurants to appointments or work. As technology advances and people like to accommodate themselves with technology, we also want this same technology with us even in our vehicles. However if someone is driving with a device I think it is dangerous and can cause serious injuries. Drivers should not be able to use a cell phone while operating a vehicle because it can be a distraction to not only you but others, can cause a car accident, and it can be illegal . If you are not convinced then I'll explain why driving while on your phone is dangerous.

While driving anywhere you need to always focus on who and what is in your nearby surroundings. In fact, according to driving test.org, ¨ texting and driving is more debilitating to your reaction time than driving under the influence of alcohol¨ . Since the light refracted off the phone is what you are focused on, vehicles or objects approaching would not get your attention. This is especially true when the phone emits a light with a brighter color or image.

Also best case scenario if you do not cause an accident you may even miss your turn or exit all because you were distracted. Worst case scenario you may cause an accident which I will explain next.

Driving while you are on your phone is not only dangerous because it can be distracting but what happens can lead to a car accident. If you do not take the time to focus on the road, your carelessness may harm pedestrians or other drivers. DrivingTest.org says twenty Texting and Driving makes you 23% more likely to be involved in an accident¨ . It then goes on to say that in 2011, 1.3 million automobiles accidents were caused by this and one can only assume that the numbers have gotten higher with technology advancing. A later text mentions that in 2015

¨3,477 people were killed and 391,000 injured¨ in crashes relating to texting while driving. This can even be illegal are result in murder.

Driving while on your phone can be illegal .If my other two arguments have not you proven that on the phone while driving then hopefully this argument will. Driving while holding your phone is illegal in my state of residence of Georgia. It is illegal under ¨the part of a sweeping hands-free law¨ according to www.usatoday.com `Even though driving with your phone may not be illgeal in your state as stated above it can possibly result in murder. ¨Texting while driving can lead to a homicide charge ¨says pittsburgcriminalattorney.com. The site says you get charged with this if you happen to cause the death of a person due to ¨recklessness¨ or ¨gross negligence¨.

Therefore due to your recklessness of not putting away your phone while behind wheels you can face heavy charges when it could have been prevented.

In conclusion driving with a phone present is a sure way to distract someone and possibly an accident. If that is not convincing then the accident can lead to the death of passengers or other drivers. This will result in heavy charges if deemed responsible for death. Therefore save everyone the trouble by simply putting your device away until you reach your destination or parking real quick. Concluding my argument why drivers should not be able to use a cellphone in any capacity is supported by not my words but professionals as well.   ",0,Phones and driving,persuade_corpus,False
"PHONES AND DRIVING

In this world in which we live in, cell phones are a growing market as well as cars. The fact that we depend on cell phones throught the course of our day for numerous reasons.

Drivers should be able to use their cell phones while driving because its easier to operate a phone in your hand than a cell phone that is not in your hand. Emergencies can occur while driving and you need to report the emergerncy while driving. Cell phones does not cause as big of a distracHon that other things that is done while driving.

A lot of people are in an uproar about driving and using a cell phone and someHmes it is overrated. Trying to operate a cell phone with one hand while maintaining driving has no danger to it. A phone that is mounted on the holder that begins to ring is harder to operate answering, dialing and switching calls.

Most Hmes the mounHng is not secure or has defected parts which can cause more of an issue than having it to your ear. Most people have older cars and cannot a? ord to upgrade and dont have the speaker opHon, which usually allows everyone surrounding your car to know you business.

I cannot say it enough, emergencies happen in a ?ash. Driving and you see a accident that needs emergency aLenHon you need to be able to use the cell phone to call it in. Things happen so quickly now and it could be your phone call that saves their life. Also if a person is lost and no gps signal but calls can be made a person should be able to dial someone by hand and get direcHons out of harms way. Emergency is a big deal in cell phone usage.

Cell phones do not cause as much as a distracHon than people make out to be. As a driver a person should always be aware of the road and be able to mulH-task when using a cell phone. Most Hmes its other things besides a cell phone that cause a distracHon but blames the cell phone as a scapegoat. There could be test on the driver liscence test that we should take to see if were able to drive and talk on the phone instead of just banning it.

Talking on a cell phone and driving a car may be a distracHon for some but not all. It should be our call on if we are focused enough to drive while talking. Although some people are said to have had bad behavior while talking and driving some are very responsible. TexHng and driving is di? erent from talking and driving and that should be the boundary. Each person should be accountable for their acHons just as speeding.   ",0,Phones and driving,persuade_corpus,False
"People are debating whether if drivers should or should not use cell phones while operating a vehicle. Some people think that using a cell phone while operating a vehicle should be allowed because they try multi-tasking and have important calls while some are addicted and can't stay off their phone. Other people says that you shouldn't be able to be on your cell phone while operating a vehicle because the cell phone can cause accidents while driving. I also think that you shouldn't use your phone while operating a vehicle because it can cause vehicle collisions, slow reaction time, and fatal injuries. Therefore, driving can cause many accidents that can be fatal to the driver and passengers if there is any and cell phones should only be used when not operating a vehicle.

The first reason why the use of cell phones shouldn't be allowed while operating a vehicle because there are high chances of vehicle collisions happening. Most vehicle collisions happen when the driver is texting or under the influence of alcohol. When people who drives while texting spend more time looking at their phone than the road causing poor car-following ability and lateral lane control. While under the influence of alcohol it can cause you to lose concentration and it can also hinder your ability to make rational decisions.

As stated before, these are some examples of what can cause vehicle collisions.

The second reason why you shouldn't operate a cell phone while driving because of slow reaction time.

Reaction time is the measure of how quickly an organism can respond to a particular stimulus. When your spending time at your phone and finally look up to see you're about to get into an accident it would already be too late. Reaction times with no activity were between one and two seconds. Reaction times while using a cellphone were at least three to four seconds. On top of that, drivers were more likely to miss the flashing light altogether when using a cellphone. Cellphones effects the nervous system when a person is driving.

The last reason you shouldn't drive while using a cellphone because it can cause fatal injuries that might have long-term or short-term affects. The affects can be physical, emotional, or psychological. One of the most common physical effect is whiplash. Whiplash is caused by a sudden movement of the neck. Whiplash is usually caused by rear end automobile collisions. One emotional effect can be anxiety which can cause difficulties in certain situations involving driving. The last effect is psychological which can cause PTSD. Most car accidents are the results of PTSD but can also be caused by any traumatic experience. PTSD can affect a person's ability to function normally.

People who goes through this will sometimes show a wide range of symptoms including anger, fear, shock, nervousness and feeling of mistrust or guilt.

In conclusion, people shouldn't use cellphones while operating a vehicle. IF they do it can cause life changing accidents and other serious problems in life. Also, it can hurt some people financially causing them to pay for these uneventful occurrences. Some things people can do to prevent is to turn their phone off or put it on ""Do Not Disturb"" mode to prevent any accidents. They can also deal with that they have to do on the phone before starting the car and driving. One more solution is that they can have the passenger relay a message for you using your phone, so you won't be distracted or tempted to pick up the phone.      ",0,Phones and driving,persuade_corpus,False
"Texting and driving

Over half of drivers in today's society have this horrible habit of texting and driving. This has to stop immediately, texting and driving puts people's lives at risk. This simple act has caused many fatalities over that last years. Fortunately, the government have put a new law to deal with this problem with our generations problem of texting and driving. I strongly feel that texting and driving is dangerous and should be prohibited.

Diving more into detail, texting and driving is hazardous and life threatening. Just imagine you're on the road driving to your friend's house and someone shoots you a text. You look down not even for 5 seconds; then you accidents swerve into the next lane hitting a car. There are so many different scenarios that could go wrong in that situation. Your life is over just because you couldn't wait to text your friend. The consequences that texting and driving comes with just isn't worth it.

The cost of a life shouldn't be worth a text message, Snapchat or Instagram DM (Direct Message). Texting and driving has taken many lives. In a recent article I read it said ""2017 U.S. Cell Phone and Driving Statistics. In 2012, 3,328 people were killed in distraction-related crashes. About 421,000 people were injured in crashes involving a distracted driver. In 2017, 11% of drivers under age 20 involved in fatal accidents were reported to be distracted at the time of the crash."" This cannot go on any longer we must do something to stop these numbers from increasing.

Luckily the government has enforced a brand new law called ""Hands Free"".

This law states Drivers cannot have a phone in their hand or touching any part of their body while talking on their phone while driving. If you don't follow these laws they can fine you fifty to one hundred and fifty dollars. I feel that this action was necessary and justified to better protect our society.

Over all texting and driving is dangerous, has killed many people and is now on the decline thanks to the new "" Hands Down"" law.      ",0,Phones and driving,persuade_corpus,False
"explain if drivers should or should not be able to use cell phones in any capacity while operating a vehicle

Drivers shouldn't be able to use their phones when driving because they can be severely injured or worse die. The number of crashes related to a phone and texting have made the use of a phone while driving illegal. Also the non use of a cell phone behind the wheel saves countless lives everyday.

Some states have also enacted laws to ban cell phone use. In the United States risk of automobile crash resulting in hospitalization is four times higher than if they weren't on their phone.

Driving with a cell phone has been the main cause of vehicle crashes over the last decade. Which led to most states banning the use of the device completely. However One out of every four automobile crashes in the United States are caused by texting and driving. Strong evidence that both retrieving and, in particular, sending text messages has a detrimental effect on that individual that increases their urge to use it. Although using a hands free device may sound better however in reality it's not since your attention isn't always on the road. All drivers should refrain from there cell phones.      ",0,Phones and driving,persuade_corpus,False
"Should drivers be able to be on their phone while driving? My opinion to that question would be no for many reasons. You shouldn't have any distractions while driving. Way too many people are killed in car accidents and there doesn't need to be any other distractions while driving. Driving while using a cell phone is a vision distraction, it's law enforced, and it's a hazard to other drivers.

Any form of usage on a cell phone while being in the car is dangerous in many ways. Drivers need to sit back and think is texting or calling anyone at this very second worth a risk of taking or endangering not only my own life but risking it for any one else's.

Using a phone not only causes danger, but causes many forms of distraction and disorder. It can be physically danger in and kind of situation, it is mentally distracting depending on what the cause is, and can even become an issue not only with the protection of human but a problem with the law. Doing anything on the phone in that very moment is not worth taking anyone, yet their own life's but yet not worth getting into trouble that could've been avoided.

It's safer to have someone in the car with you, talking to you rather than you being on your phone. The passenger in the car can keep you company and keep you entertained. A cell phone will distract you and you could take your life and even someone else. Being on your phone could make you drive slower and cause other vehicles to pass you and that could cause an accident.

Drivers should not have in their possession at any time a cell phone. It's too much of a risk. There is no need for a snapchat or a game can't wait in order to not take you own life or someone else's. There is enough distractions while driving without it being a phone. A phone only makes it all worse.                     ",0,Phones and driving,persuade_corpus,False
"Everyone knows that texting and driving is a terrible idea, but only a few people seem to understand why. Using cellphones while driving is never a good mix for anyone. The generation now don't know the meaning of texting and driving. There are bad wrecks happening while driving and texting on the road. Drivers should never use their phone while driving. On your phone can really cause you to swerve off and on the road leading you to be in the other persons lane. Taking your eyes off the road has obvious disadvantages and it degrades our attention.

90% of car crashes is mostly the drivers fault, they mostly use the excuse of ""recognition error"". When you are in a divided conversation your attention is in different places like the road, a person in the car with you, or a phone call. All those distractions only one should mainly have your attention which i suggest be the road, and us as human we only have a little of attention to spare. Texting on a phone while driving can make you react more slowly to what your main focus should be on. We also feel immune to the risks of other people. Many of us have a lot of experience making bad decisions and suffering the consequences. It feels reasonable to infer that we are able to text and drive safely but some people may chose not to thinking they can do them all in any way. Remember the real reason why it's terrible to text and drive.                              ",0,Phones and driving,persuade_corpus,False
