dataset,model,representation,accuracy,precision_w,recall_w,f1_weighted,f1_macro,roc_auc,pr_auc,fpr,fit_seconds
DAIGT V2,RidgeClassifier,char3-5,0.9941411831951986,0.9941903027177901,0.9941411831951986,0.9941408691145084,0.9941405101651482,0.9995474817810366,0.9996411380243025,0.0008525149190110827,7.79
DAIGT V2,LinearSVC,char3-5,0.9935695913118033,0.9936031977027691,0.9935695913118033,0.9935693285392436,0.9935689660943336,0.9995213435445621,0.9995953213402925,0.002273373117362887,1.04
DAIGT V2,LightGBM,TF-IDF-s,0.9925693055158616,0.9926466878604695,0.9925693055158616,0.9925687446279626,0.9925682347298725,0.9994547727235414,0.9995418876034338,0.0011366865586814436,26.28
DAIGT V2,SGD [hinge],char3-5,0.9918548156616176,0.9919035756036427,0.9918548156616176,0.9918543790128532,0.9918538799856939,0.9991074609063875,0.9992741390391596,0.00312588803637397,0.42
DAIGT V2,MLP [adam],TF-IDF-s,0.9909974278365247,0.9910518009623288,0.9909974278365247,0.9909969040386075,0.9909963377705892,0.9992107886224504,0.9993583040549896,0.003694231315714692,39.34
DAIGT V2,LinearSVC,TF-IDF,0.9909974278365247,0.9910578701644471,0.9909974278365247,0.9909968613810436,0.990996280401063,0.9991919200829954,0.999359854846304,0.0034100596760443308,0.1
DAIGT V2,RidgeClassifier,TF-IDF,0.9909974278365247,0.9911010318429274,0.9909974278365247,0.9909965745325916,0.990995905274605,0.9991715812677388,0.9993683029870427,0.0017050298380221654,0.66
DAIGT V2,PassiveAggressive,TF-IDF,0.9907116318948271,0.9907324889027251,0.9907116318948271,0.9907113570452157,0.9907108790458918,0.9990925947843927,0.9992347130756659,0.005967604433077579,0.11
DAIGT V2,SGD [modified_huber],TF-IDF,0.9894255501571878,0.9894826346861282,0.9894255501571878,0.9894249100656847,0.9894242362851551,0.9990680901876978,0.9991847299579041,0.005115089514066497,0.06
DAIGT V2,LogReg [lbfgs],BoW,0.9892826521863389,0.989315760910483,0.9892826521863389,0.9892822142320727,0.9892816101572228,0.9988093216466011,0.999036683762848,0.006535947712418301,5.51
DAIGT V2,LogReg [liblinear],BoW,0.9892826521863389,0.989315760910483,0.9892826521863389,0.9892822142320727,0.9892816101572228,0.9988430563080509,0.9990856896769302,0.006535947712418301,2.25
DAIGT V2,LogReg [liblinear],char3-5,0.9892826521863389,0.9893558170170846,0.9892826521863389,0.9892818710135723,0.9892811443412315,0.9985511248794272,0.9988464331622202,0.004546746234725774,8.27
DAIGT V2,LogReg [lbfgs],char3-5,0.9888539582737925,0.9889236506314725,0.9888539582737925,0.9888531743107946,0.988852427679368,0.998369219089963,0.9987024896003791,0.005115089514066497,2.24
DAIGT V2,SGD [hinge],TF-IDF,0.9882823663903972,0.9883976818921917,0.9882823663903972,0.9882811516261034,0.9882802518007006,0.9988229625387612,0.9990830019077855,0.003978402955385053,0.1
DAIGT V2,SGD [hinge],BoW,0.9874249785653044,0.987460200772945,0.9874249785653044,0.9874244392737626,0.9874237202183735,0.9982092857555351,0.9985807036253068,0.008240977550440466,0.25
DAIGT V2,SGD [log_loss],BoW,0.9872820805944555,0.9873149570740828,0.9872820805944555,0.9872815608887263,0.9872808440532378,0.9983939687326248,0.998712707759602,0.008525149190110827,0.26
DAIGT V2,LinearSVC,BoW,0.9869962846527579,0.9870074204770538,0.9869962846527579,0.986996027333572,0.9869954218766641,0.9983684839520621,0.9987040450838892,0.010514350667803353,3.43
DAIGT V2,ExtraTrees,TF-IDF-s,0.9864246927693626,0.9865712569993981,0.9864246927693626,0.986422984550655,0.98642186440724,0.9981839234979559,0.9985023294061794,0.004830917874396135,9.96
DAIGT V2,LogReg [liblinear],TF-IDF,0.9859959988568162,0.9861105677758936,0.9859959988568162,0.9859945470653431,0.9859934716642518,0.9983673404042164,0.9986814675940443,0.00625177607274794,0.67
DAIGT V2,LogReg [saga],TF-IDF,0.9859959988568162,0.9861105677758936,0.9859959988568162,0.9859945470653431,0.9859934716642518,0.9983668503122826,0.998681080926361,0.00625177607274794,0.37
DAIGT V2,LogReg [lbfgs],TF-IDF,0.9857102029151186,0.9858333666735366,0.9857102029151186,0.9857086339287053,0.9857075132241244,0.9983541896039902,0.9986681856184715,0.00625177607274794,2.34
DAIGT V2,SGD [log_loss],char3-5,0.9855673049442698,0.985686036699582,0.9855673049442698,0.985565764784067,0.9855646446675559,0.9978559294711964,0.9982938735441839,0.006535947712418301,0.48
