dataset,,,,DAIGT V2,DAIGT V2,DAIGT V2,DAIGT V2,HC3,HC3,HC3,HC3
,,,,Acc,Prec,Rec,F1,Acc,Prec,Rec,F1
Model,Learning Rate,Batch Size,Weight Decay,,,,,,,,
BERT,2e-05,16,0.01,0.992,0.992,0.992,0.992,0.991,0.9911,0.991,0.991
BERT,2e-05,16,0.1,0.9869,0.987,0.9869,0.9869,0.9916,0.9917,0.9916,0.9916
BERT,2e-05,32,0.01,0.9936,0.9936,0.9936,0.9936,0.9944,0.9944,0.9944,0.9944
BERT,2e-05,32,0.1,0.9924,0.9924,0.9924,0.9924,0.9945,0.9945,0.9945,0.9945
BERT,3e-05,16,0.01,0.9954,0.9954,0.9954,0.9954,0.994,0.9941,0.994,0.994
BERT,3e-05,16,0.1,0.9901,0.9902,0.9901,0.9901,0.9911,0.9912,0.9911,0.9911
BERT,3e-05,32,0.01,0.9919,0.9919,0.9919,0.9919,0.9929,0.993,0.9929,0.9929
BERT,3e-05,32,0.1,0.9916,0.9916,0.9916,0.9916,0.9933,0.9933,0.9933,0.9933
DeBERTa,2e-05,16,0.01,0.9953,0.9953,0.9953,0.9953,0.9937,0.9937,0.9937,0.9937
DeBERTa,2e-05,16,0.1,0.994,0.994,0.994,0.994,0.9952,0.9952,0.9952,0.9952
DeBERTa,2e-05,32,0.01,0.993,0.993,0.993,0.993,0.9953,0.9954,0.9953,0.9953
DeBERTa,2e-05,32,0.1,0.9934,0.9934,0.9934,0.9934,0.9964,0.9964,0.9964,0.9964
DeBERTa,3e-05,16,0.01,0.9917,0.9917,0.9917,0.9917,0.998,0.998,0.998,0.998
DeBERTa,3e-05,16,0.1,0.994,0.994,0.994,0.994,0.9972,0.9972,0.9972,0.9972
DeBERTa,3e-05,32,0.01,0.992,0.9921,0.992,0.992,0.9964,0.9964,0.9964,0.9964
DeBERTa,3e-05,32,0.1,0.9949,0.9949,0.9949,0.9949,0.9966,0.9967,0.9966,0.9966
