dataset,model,representation,kind,accuracy,f1_weighted,f1_macro,roc_auc,error_rate
DAIGT V2,RidgeClassifier,char3-5,classical,0.9941411831951986,0.9941408691145084,0.9941405101651482,0.9995474817810366,0.005858816804801381
DAIGT V2,LinearSVC,char3-5,classical,0.9935695913118033,0.9935693285392436,0.9935689660943336,0.9995213435445621,0.006430408688196665
DAIGT V2,LightGBM,TF-IDF-s,classical,0.9925693055158616,0.9925687446279626,0.9925682347298725,0.9994547727235414,0.007430694484138356
DAIGT V2,SGD [hinge],char3-5,classical,0.9918548156616176,0.9918543790128532,0.9918538799856939,0.9991074609063875,0.008145184338382405
DAIGT V2,DeBERTa,raw subword,transformer,0.9917,0.9917,,,0.0083
DAIGT V2,BERT,raw subword,transformer,0.9916,0.9916,,,0.0084
DAIGT V2,MLP [adam],TF-IDF-s,classical,0.9909974278365247,0.9909969040386075,0.9909963377705892,0.9992107886224504,0.00900257216347533
DAIGT V2,LinearSVC,TF-IDF,classical,0.9909974278365247,0.9909968613810436,0.990996280401063,0.9991919200829954,0.00900257216347533
DAIGT V2,RidgeClassifier,TF-IDF,classical,0.9909974278365247,0.9909965745325916,0.990995905274605,0.9991715812677388,0.00900257216347533
DAIGT V2,PassiveAggressive,TF-IDF,classical,0.9907116318948271,0.9907113570452157,0.9907108790458918,0.9990925947843927,0.009288368105172862
DAIGT V2,SGD [modified_huber],TF-IDF,classical,0.9894255501571878,0.9894249100656847,0.9894242362851551,0.9990680901876978,0.010574449842812195
DAIGT V2,LogReg [lbfgs],BoW,classical,0.9892826521863389,0.9892822142320727,0.9892816101572228,0.9988093216466011,0.010717347813661071
DAIGT V2,LogReg [liblinear],BoW,classical,0.9892826521863389,0.9892822142320727,0.9892816101572228,0.9988430563080509,0.010717347813661071
DAIGT V2,LogReg [liblinear],char3-5,classical,0.9892826521863389,0.9892818710135723,0.9892811443412315,0.9985511248794272,0.010717347813661071
DAIGT V2,LogReg [lbfgs],char3-5,classical,0.9888539582737925,0.9888531743107946,0.988852427679368,0.998369219089963,0.011146041726207478
DAIGT V2,SGD [hinge],TF-IDF,classical,0.9882823663903972,0.9882811516261034,0.9882802518007006,0.9988229625387612,0.011717633609602762
DAIGT V2,SGD [hinge],BoW,classical,0.9874249785653044,0.9874244392737626,0.9874237202183735,0.9982092857555351,0.012575021434695577
DAIGT V2,SGD [log_loss],BoW,classical,0.9872820805944555,0.9872815608887263,0.9872808440532378,0.9983939687326248,0.012717919405544453
DAIGT V2,LinearSVC,BoW,classical,0.9869962846527579,0.986996027333572,0.9869954218766641,0.9983684839520621,0.013003715347242095
DAIGT V2,ExtraTrees,TF-IDF-s,classical,0.9864246927693626,0.986422984550655,0.98642186440724,0.9981839234979559,0.013575307230637379
DAIGT V2,LogReg [liblinear],TF-IDF,classical,0.9859959988568162,0.9859945470653431,0.9859934716642518,0.9983673404042164,0.014004001143183786
DAIGT V2,LogReg [saga],TF-IDF,classical,0.9859959988568162,0.9859945470653431,0.9859934716642518,0.9983668503122826,0.014004001143183786
DAIGT V2,LogReg [lbfgs],TF-IDF,classical,0.9857102029151186,0.9857086339287053,0.9857075132241244,0.9983541896039902,0.014289797084881428
DAIGT V2,SGD [log_loss],char3-5,classical,0.9855673049442698,0.985565764784067,0.9855646446675559,0.9978559294711964,0.014432695055730194
DAIGT V2,RandomForest,TF-IDF-s,classical,0.9827093455272935,0.9827064322748961,0.9827048359722124,0.9976385736985138,0.0172906544727065
DAIGT V2,SGD [log_loss],TF-IDF,classical,0.9818519577022007,0.981848618214045,0.9818468834150031,0.9975387583079771,0.018148042297799316
