dataset,model,attack,strength,in_domain_f1,adv_f1,drop,n_predicted_machine,n_test,confusion_tn_fp_fn_tp
DAIGT V2,BERT,backtranslation,,0.9916,0.9856,0.006,3528,6998,3444;75;26;3453
DAIGT V2,BERT,homoglyph,0.01,0.9916,0.9933,-0.0017,3476,6998,3497;22;25;3454
DAIGT V2,BERT,homoglyph,0.05,0.9916,0.985,0.0066,3432,6998,3490;29;76;3403
DAIGT V2,BERT,homoglyph,0.1,0.9916,0.9638,0.0278,3320,6998,3472;47;206;3273
DAIGT V2,BERT,typo,0.01,0.9916,0.99,0.0016,3429,6998,3509;10;60;3419
DAIGT V2,BERT,typo,0.05,0.9916,0.9106,0.081,2884,6998,3506;13;608;2871
DAIGT V2,BERT,typo,0.1,0.9916,0.7966,0.195,2160,6998,3493;26;1345;2134
DAIGT V2,DeBERTa,backtranslation,,0.9917,0.9767,0.015,3372,6998,3491;28;135;3344
DAIGT V2,DeBERTa,homoglyph,0.01,0.9917,0.9923,-0.0006,3469,6998,3497;22;32;3447
DAIGT V2,DeBERTa,homoglyph,0.05,0.9917,0.987,0.0047,3510,6998,3458;61;30;3449
DAIGT V2,DeBERTa,homoglyph,0.1,0.9917,0.9826,0.0091,3549,6998,3423;96;26;3453
DAIGT V2,DeBERTa,typo,0.01,0.9917,0.9924,-0.0007,3446,6998,3509;10;43;3436
DAIGT V2,DeBERTa,typo,0.05,0.9917,0.9836,0.0081,3484,6998,3459;60;55;3424
DAIGT V2,DeBERTa,typo,0.1,0.9917,0.959,0.0327,3518,6998,3356;163;124;3355
HC3,BERT,backtranslation,,0.9916,0.9872,0.0044,5354,10732,5309;68;69;5286
HC3,BERT,homoglyph,0.01,0.9916,0.9611,0.0305,4972,10732,5360;17;400;4955
HC3,BERT,homoglyph,0.05,0.9916,0.5826,0.409,1470,10732,5375;2;3887;1468
HC3,BERT,homoglyph,0.1,0.9916,0.4351,0.5565,528,10732,5376;1;4828;527
HC3,BERT,typo,0.01,0.9916,0.8936,0.098,4246,10732,5367;10;1119;4236
HC3,BERT,typo,0.05,0.9916,0.439,0.5526,550,10732,5376;1;4806;549
HC3,BERT,typo,0.1,0.9916,0.3746,0.617,201,10732,5376;1;5155;200
HC3,DeBERTa,backtranslation,,0.9972,0.9773,0.0199,5511,10732,5177;200;44;5311
HC3,DeBERTa,homoglyph,0.01,0.9972,0.9964,0.0008,5330,10732,5370;7;32;5323
HC3,DeBERTa,homoglyph,0.05,0.9972,0.9581,0.0391,4910,10732,5375;2;447;4908
HC3,DeBERTa,homoglyph,0.1,0.9972,0.7878,0.2094,3175,10732,5376;1;2181;3174
HC3,DeBERTa,typo,0.01,0.9972,0.9821,0.0151,5169,10732,5374;3;189;5166
HC3,DeBERTa,typo,0.05,0.9972,0.5524,0.4448,1258,10732,5376;1;4098;1257
HC3,DeBERTa,typo,0.1,0.9972,0.3644,0.6328,149,10732,5376;1;5207;148
