Model,Learning Rate,Batch Size,Weight Decay,D1 Acc,D1 Prec,D1 Rec,D1 F1,D2 Acc,D2 Prec,D2 Rec,D2 F1
BERT,0.00002,16,0.01,0.9842,0.9842,0.9842,0.9842,0.9700,0.9717,0.9700,0.9700
BERT,0.00003,16,0.01,0.9833,0.9833,0.9833,0.9833,0.9842,0.9847,0.9842,0.9842
BERT,0.00002,32,0.01,0.9808,0.9809,0.9808,0.9808,0.9858,0.9862,0.9858,0.9858
BERT,0.00003,32,0.01,0.9833,0.9833,0.9833,0.9833,0.9783,0.9792,0.9783,0.9783
BERT,0.00002,16,0.1,0.9800,0.9803,0.9800,0.9800,0.9875,0.9877,0.9875,0.9875
BERT,0.00003,16,0.1,0.9825,0.9826,0.9825,0.9825,0.9850,0.9853,0.9850,0.9850
BERT,0.00002,32,0.1,0.9817,0.9817,0.9817,0.9817,0.9867,0.9869,0.9867,0.9867
BERT,0.00003,32,0.1,0.9908,0.9909,0.9908,0.9908,0.9867,0.9870,0.9867,0.9867
DeBERTa,0.00002,16,0.01,0.9850,0.9852,0.9850,0.9850,0.9925,0.9926,0.9925,0.9925
DeBERTa,0.00003,16,0.01,0.9933,0.9934,0.9933,0.9933,0.9917,0.9918,0.9917,0.9917
DeBERTa,0.00002,32,0.01,0.9925,0.9925,0.9925,0.9925,0.9967,0.9967,0.9967,0.9967
DeBERTa,0.00003,32,0.01,0.9942,0.9942,0.9942,0.9942,0.9975,0.9975,0.9975,0.9975
DeBERTa,0.00002,16,0.1,0.9775,0.9781,0.9775,0.9775,0.9908,0.9910,0.9908,0.9908
DeBERTa,0.00003,16,0.1,0.9842,0.9847,0.9842,0.9842,0.9992,0.9992,0.9992,0.9992
DeBERTa,0.00002,32,0.1,0.9825,0.9828,0.9825,0.9825,0.9950,0.9950,0.9950,0.9950
DeBERTa,0.00003,32,0.1,0.9892,0.9892,0.9892,0.9892,0.9942,0.9942,0.9942,0.9942
ENSEMBLE,,,,0.9925,0.9926,0.9925,0.9925,0.9992,0.9992,0.9992,0.9992
