Model,Learning Rate,Batch Size,Weight Decay,D1 Acc,D1 Prec,D1 Rec,D1 F1,D2 Acc,D2 Prec,D2 Rec,D2 F1
BERT,0.00002,16,0.01,0.9920,0.9920,0.9920,0.9920,0.9910,0.9911,0.9910,0.9910
BERT,0.00003,16,0.01,0.9954,0.9954,0.9954,0.9954,0.9940,0.9941,0.9940,0.9940
BERT,0.00002,32,0.01,0.9936,0.9936,0.9936,0.9936,0.9944,0.9944,0.9944,0.9944
BERT,0.00003,32,0.01,0.9919,0.9919,0.9919,0.9919,0.9929,0.9930,0.9929,0.9929
BERT,0.00002,16,0.1,0.9869,0.9870,0.9869,0.9869,0.9916,0.9917,0.9916,0.9916
BERT,0.00003,16,0.1,0.9901,0.9902,0.9901,0.9901,0.9911,0.9912,0.9911,0.9911
BERT,0.00002,32,0.1,0.9924,0.9924,0.9924,0.9924,0.9945,0.9945,0.9945,0.9945
BERT,0.00003,32,0.1,0.9916,0.9916,0.9916,0.9916,0.9933,0.9933,0.9933,0.9933
DeBERTa,0.00002,16,0.01,0.9953,0.9953,0.9953,0.9953,0.9937,0.9937,0.9937,0.9937
DeBERTa,0.00003,16,0.01,0.9917,0.9917,0.9917,0.9917,0.9980,0.9980,0.9980,0.9980
DeBERTa,0.00002,32,0.01,0.9930,0.9930,0.9930,0.9930,0.9953,0.9954,0.9953,0.9953
DeBERTa,0.00003,32,0.01,0.9920,0.9921,0.9920,0.9920,0.9964,0.9964,0.9964,0.9964
DeBERTa,0.00002,16,0.1,0.9940,0.9940,0.9940,0.9940,0.9952,0.9952,0.9952,0.9952
DeBERTa,0.00003,16,0.1,0.9940,0.9940,0.9940,0.9940,0.9972,0.9972,0.9972,0.9972
DeBERTa,0.00002,32,0.1,0.9934,0.9934,0.9934,0.9934,0.9964,0.9964,0.9964,0.9964
DeBERTa,0.00003,32,0.1,0.9949,0.9949,0.9949,0.9949,0.9966,0.9967,0.9966,0.9966
ENSEMBLE,,,,0.9949,0.9949,0.9949,0.9949,0.9982,0.9982,0.9982,0.9982
