dataset,model,lr,batch_size,weight_decay,epochs_run,val_f1,acc,prec,rec,f1,minutes,peak_vram
D1,BERT,2e-05,16,0.01,5,0.9687,0.9842,0.9842,0.9842,0.9842,2.6,2.18
D1,BERT,2e-05,16,0.1,5,0.9667,0.98,0.9803,0.98,0.98,1.1,2.18
D1,BERT,2e-05,32,0.01,5,0.9667,0.9808,0.9809,0.9808,0.9808,2.2,2.96
D1,BERT,2e-05,32,0.1,3,0.975,0.9817,0.9817,0.9817,0.9817,1.3,2.96
D1,BERT,3e-05,16,0.01,5,0.9792,0.9833,0.9833,0.9833,0.9833,2.5,2.18
D1,BERT,3e-05,16,0.1,4,0.9833,0.9825,0.9826,0.9825,0.9825,2.1,2.18
D1,BERT,3e-05,32,0.01,3,0.9812,0.9833,0.9833,0.9833,0.9833,1.3,2.96
D1,BERT,3e-05,32,0.1,4,0.9854,0.9908,0.9909,0.9908,0.9908,1.7,2.96
D1,DeBERTa,2e-05,16,0.01,5,0.9833,0.985,0.9852,0.985,0.985,4.3,4.22
D1,DeBERTa,2e-05,16,0.1,4,0.9854,0.9775,0.9781,0.9775,0.9775,3.4,4.22
D1,DeBERTa,2e-05,32,0.01,5,0.9854,0.9925,0.9925,0.9925,0.9925,3.6,6.18
D1,DeBERTa,2e-05,32,0.1,5,0.9812,0.9825,0.9828,0.9825,0.9825,3.6,6.18
D1,DeBERTa,3e-05,16,0.01,4,0.9896,0.9933,0.9934,0.9933,0.9933,3.4,4.22
D1,DeBERTa,3e-05,16,0.1,4,0.9875,0.9842,0.9847,0.9842,0.9842,3.4,4.22
D1,DeBERTa,3e-05,32,0.01,4,0.9896,0.9942,0.9942,0.9942,0.9942,2.9,6.18
D1,DeBERTa,3e-05,32,0.1,5,0.9833,0.9892,0.9892,0.9892,0.9892,3.5,6.18
D2,BERT,2e-05,16,0.01,5,0.9624,0.97,0.9717,0.97,0.97,2.5,2.18
D2,BERT,2e-05,16,0.1,5,0.9854,0.9875,0.9877,0.9875,0.9875,2.6,2.18
D2,BERT,2e-05,32,0.01,5,0.9729,0.9858,0.9862,0.9858,0.9858,2.1,2.96
D2,BERT,2e-05,32,0.1,5,0.9812,0.9867,0.9869,0.9867,0.9867,2.1,2.96
D2,BERT,3e-05,16,0.01,5,0.9792,0.9842,0.9847,0.9842,0.9842,2.6,2.18
D2,BERT,3e-05,16,0.1,5,0.9771,0.985,0.9853,0.985,0.985,2.6,2.18
D2,BERT,3e-05,32,0.01,5,0.9729,0.9783,0.9792,0.9783,0.9783,2.1,2.96
D2,BERT,3e-05,32,0.1,5,0.9729,0.9867,0.987,0.9867,0.9867,2.1,2.96
D2,DeBERTa,2e-05,16,0.01,4,0.9854,0.9925,0.9926,0.9925,0.9925,3.4,4.22
D2,DeBERTa,2e-05,16,0.1,3,0.9812,0.9908,0.991,0.9908,0.9908,2.5,4.22
D2,DeBERTa,2e-05,32,0.01,5,0.9875,0.9967,0.9967,0.9967,0.9967,3.6,6.18
D2,DeBERTa,2e-05,32,0.1,5,0.9854,0.995,0.995,0.995,0.995,3.6,6.18
D2,DeBERTa,3e-05,16,0.01,5,0.9875,0.9917,0.9918,0.9917,0.9917,4.2,4.22
D2,DeBERTa,3e-05,16,0.1,5,0.9937,0.9992,0.9992,0.9992,0.9992,4.2,4.22
D2,DeBERTa,3e-05,32,0.01,5,0.9875,0.9975,0.9975,0.9975,0.9975,3.6,6.18
D2,DeBERTa,3e-05,32,0.1,5,0.9833,0.9942,0.9942,0.9942,0.9942,3.6,6.18
